title,rating,year,wins,nominations,news,reviews
Good Bye Lenin! (2003),7.8,2003,32,14,33,220
Harry und Sally (1989),7.6,1989,4,14,855,245
Adventures in the Sin Bin (2012),5.4,2012,1,0,29,5
Amarcord (1973),8,1973,16,8,73,96
Die Müßiggänger (1953),8,1953,4,1,15,49
Fellinis Roma (1972),7.4,1972,4,1,28,46
The Affairs of Anatol (1921),8.1,1921,0,0,2,18
Die Frauen (1939),8.1,1939,1,0,60,131
Stardust Memories (1980),7.5,1980,0,0,76,98
Das Gespenst der Freiheit (1974),8,1974,2,0,4,309
Stranger Than Paradise (1984),7.6,1984,7,2,72,90
Night on Earth (1991),7.8,1991,1,0,21,87
...mit deiner Mutter auch! (2001),7.7,2001,39,30,185,377
Polly of the Circus (1932),7.6,1932,0,0,0,10
Geheimnis der Mutter (1948),8.4,1948,1,3,11,57
Die Sopranos Marco Polo (TV Episode 2004),8.7,2004,0,0,0,2
Lost Highway (1997),7.7,1997,0,0,238,433
Audition (1999),7.3,1999,3,2,275,390
Janghwa\,http://www.imdb.com/title/tt0365376/,6900,video.movie,11,5,208
Christine (1983),6.6,1983,0,0,217,201
Twin Peaks - Der Film (1992),7.2,1992,3,6,89,214
Schatten der Wahrheit (2000),6.6,2000,4,5,197,669
Böse Saat (1956),7.5,1956,1,1,90,151
Dark Shadows (2012),6.3,2012,2,9,3512,460
Santa sangre (1989),7.7,1989,1,8,98,81
The Mothman Prophecies - Tödliche Visionen (2002),6.5,2002,3,0,124,441
Friends The One with the Yeti (TV Episode 1998),8.1,1998,0,0,0,3
Speedway (1929),7.7,1929,0,0,0,4
Blut und Sand (1922),7.4,1922,0,0,2,15
Aus Liebe zum Spiel (1999),6.5,1999,0,0,33,218
Sommer und Rauch (1961),8,1961,5,5,20,22
Mädchenlos (1920),8.1,1920,0,0,6,43
Der Scheich (1921),7.4,1921,0,0,17,20
Die Farbe des Geldes (1986),7,1986,4,6,185,109
Es war (1926),8.1,1926,1,0,22,30
Pflicht und Liebe (1928),7.5,1928,0,0,0,10
Der Glanz des Hauses Amberson (1942),8,1942,2,0,108,95
Traum meines Lebens (1955),7.6,1955,3,2,22,64
Fame The Deal (TV Episode 1984),,1984,0,0,0,0
Wer den Wind sät (1960),8.2,1960,3,7,71,150
Der Löwe im Winter (1968),8.2,1968,14,16,218,158
Frost/Nixon (2008),7.8,2008,16,48,83,234
Good Night\,http://www.imdb.com/title/tt0433383/,5580,video.movie,43,36,107
Quiz Show - Der Skandal (1994),7.5,1994,13,13,194,150
Julius Caesar (1953),7.4,1953,6,6,71,65
Hexenjagd (1996),6.9,1996,7,11,73,113
Lüge und Wahrheit - Shattered Glass (2003),7.3,2003,12,18,298,178
Meuterei auf der Bounty (1935),7.9,1935,2,7,78,84
Biography Milton Berle: Mr. Television (TV Episode),,2010,0,0,0,0
Die Nacht vor der Hochzeit (1940),8.1,1940,3,4,119,174
City Wolf (1986),7.6,1986,4,12,77,84
Flucht von Alcatraz (1979),7.6,1979,0,0,64,130
Der Mann mit der Todeskralle (1973),7.7,1973,1,0,280,231
Sonatine (1993),7.6,1993,4,1,42,76
Blast Killer (1989),8,1989,2,5,167,215
El mariachi (1992),7,1992,6,4,98,125
Sono otoko\,http://www.imdb.com/title/tt0098360/,6180,video.movie,3,9,19
Komm' zurück\,http://www.imdb.com/title/tt0083745/,6540,video.movie,2,4,0
Leoparden küßt man nicht (1938),8.1,1938,1,0,123,224
Lat sau san taam (1992),8,1992,2,3,201,250
A History of Violence (2005),7.5,2005,35,34,919,1100
Mann unter Feuer (2004),7.8,2004,1,6,530,664
Lebenskünstler (1938),8,1938,1,5,27,122
Smashing UK Top 10 Top 10 Film Directors (TV Episode 2013),,2013,0,0,0,0
Sieben Jahre in Tibet (1997),7,1997,3,6,104,110
Lincoln (2012),7.5,2012,63,115,74,638
Kundun (1997),7.1,1997,5,4,83,114
Sergeant York (1941),7.8,1941,3,9,18,84
Das Tagebuch der Anne Frank (1959),7.5,1959,6,11,90,47
Andrej Rubljow (1966),8.3,1966,3,0,28,97
Heinrich V. (1944),7.4,1944,10,0,16,44
Che: Part One (2008),7.2,2008,3,9,69,70
Entführt - Die Abenteuer des David Balfour (1960),6.7,1960,0,0,11,11
Bankraub des Jahrhunderts (1960),6.6,1960,0,0,7,8
Who Wants to Be a Millionaire Episode #7.102 (TV Episode 2009),,2009,0,0,0,0
Brick (2005),7.5,2005,10,14,1042,398
Paranoid Park (2007),6.7,2007,5,4,133,101
Clockers (1995),6.9,1995,1,4,103,77
Karakter (1997),7.8,1997,14,5,4,65
Die Totenliste (1963),7,1963,0,0,12,45
Tonight or Never (1931),8.1,1931,0,0,0,8
Kap der Angst (1991),7.3,1991,6,11,488,246
Brand Upon the Brain! A Remembrance in 12 Chapters (2006),7.4,2006,0,0,0,28
The Red Mill (1927),8.3,1927,0,0,0,14
Ever Since Eve (1937),8,1937,0,0,0,13
Willkommen\,http://www.imdb.com/title/tt0078841/,7800,video.movie,15,22,174
Thank You for Smoking (2005),7.7,2005,10,18,500,312
Rushmore (1998),7.8,1998,14,11,694,623
Die Royal Tenenbaums (2001),7.6,2001,11,29,714,946
50/50 - Freunde fürs (Über)leben (2011),7.8,2011,9,9,181,362
The Descendants - Familie und andere Angelegenheiten (2011),7.4,2011,51,82,4376,403
Der Tintenfisch und der Wal (2005),7.4,2005,19,27,469,212
Station Agent (2003),7.8,2003,25,21,391,263
The Killing of John Lennon (2006),6.3,2006,1,1,5,27
Centurion (2010),6.4,2010,0,0,823,176
Unbeugsam (2008),7.2,2008,2,2,615,214
Duell im Atlantik (1957),7.7,1957,4,1,4,80
Khartoum - Aufstand am Nil (1966),7,1966,0,2,10,47
Last Samurai (2003),7.7,2003,18,39,854,908
Der längste Tag (1962),7.8,1962,6,6,117,181
Die Brücke von Arnheim (1977),7.4,1977,4,4,40,191
Beverly Hills Vamp (1989),3,1989,0,0,0,5
The Wild Bunch - Sie kannten kein Gesetz (1969),8.1,1969,5,3,447,278
Pale Rider - Der namenlose Reiter (1985),7.3,1985,2,1,69,126
Die Rechnung wird mit Blei bezahlt (1967),7.2,1967,0,0,17,59
Die gefürchteten Vier (1966),7.4,1966,3,5,13,78
Blaze of Glory - Flammender Ruhm (1990),6.3,1990,2,2,36,64
Die Gewaltigen (1967),6.8,1967,1,0,4,33
Big Jake (1971),7.1,1971,0,0,21,59
Sukiyaki Western Django (2007),6.3,2007,5,4,152,69
Django - Sein Haß ist tödlich (1968),6.5,1968,0,0,0,11
Gott vergibt ... Django nie! (1967),6.3,1967,0,0,2,15
Guns for Hire: The Making of 'The Magnificent Seven' (TV Movie 2000),6.6,2000,0,0,0,4
Kagemusha - Der Schatten des Kriegers (1980),8,1980,20,3,64,84
Barfuß durch die Hölle - 1. Teil (1959),8.4,1959,5,1,0,16
Panzerkreuzer Potemkin (1925),8,1925,0,0,163,160
Letters from Iwo Jima (2006),8,2006,26,19,324,307
Killing Fields - Schreiendes Land (1984),7.9,1984,26,20,216,176
Der Fall des Lieutnant Morant (1980),7.9,1980,14,5,71,85
Die Blechtrommel (1979),7.6,1979,14,5,72,73
Glory (1989),8,1989,13,12,231,332
Nanjing! Nanjing! (2009),7.7,2009,11,6,32,58
The Wind That Shakes the Barley (2006),7.6,2006,5,22,160,211
Gettysburg (1993),7.7,1993,0,0,59,244
Daddy-Long-Legs (1919),7.9,1919,0,0,0,18
Bloody Sunday (2002),7.7,2002,19,21,188,117
Remembering History (Video 2005),7.4,2005,0,0,0,1
Sinola (1972),6.4,1972,0,0,10,59
Winchester 73 (1950),7.8,1950,0,0,8,77
Django (1966),7.3,1966,0,0,310,83
Der Gehetzte der Sierra Madre (1966),7.4,1966,0,0,29,26
Die vier Söhne der Katie Elder (1965),7.2,1965,1,0,23,47
Zwei rechnen ab (1957),7.2,1957,2,2,34,72
Der Tod ritt dienstags (1967),7.2,1967,0,0,15,19
Töte Amigo (1966),7.2,1966,0,0,16,24
Nackte Gewalt (1953),7.5,1953,1,0,7,78
Sabata (1969),6.9,1969,0,0,7,32
Bis zum letzten Mann (1948),7.7,1948,2,1,61,71
The 80th Annual Academy Awards (2008),6.8,2008,1,8,6,7
Edición Especial Coleccionista Phineas y Ferb: A traves de la 2ª Dimensión (TV Episode 2013),,2013,0,0,0,0
Vera Cruz (1954),7.1,1954,0,0,28,53
Von Angesicht zu Angesicht (1967),7.4,1967,0,0,9,13
Keine Gnade für Ulzana (1972),7.1,1972,0,0,9,52
Todesmelodie (1971),7.7,1971,1,0,10,102
Die glorreichen Sieben (1960),7.8,1960,2,2,442,226
Der mit dem Wolf tanzt (1990),8,1990,34,28,817,351
Der Marshal (1969),7.4,1969,7,5,1258,151
Der schwarze Falke (1956),8,1956,1,2,234,408
El Dorado (1966),7.7,1966,0,0,32,84
Panik am roten Fluß (1948),7.8,1948,1,2,89,148
Weeds - Kleine Deals unter Nachbarn If You Work for a Living\,http://www.imdb.com/title/tt1137936/,1800,video.episode,0,0,0
Wie in einem Spiegel (1961),8.1,1961,2,4,66,56
Nostalghia (1983),8.2,1983,3,1,22,45
Passion (1969),7.8,1969,8,0,13,30
Endstation Sehnsucht (1951),8.1,1951,13,14,556,215
Beyond the Rocks (1922),7.9,1922,0,0,6,53
Die Katze auf dem heißen Blechdach (1958),8.1,1958,3,8,7,134
Rendezvous nach Ladenschluß (1940),8.1,1940,1,0,64,121
Elizabeth Taylor: A Tribute (TV Movie 2011),7,2011,0,0,0,2
Terminal (2004),7.3,2004,3,2,244,573
American Gangster (2007),7.8,2007,9,30,1108,440
Boyz n the Hood - Jungs im Viertel (1991),7.8,1991,10,9,302,167
25 Stunden (2002),7.7,2002,4,7,13,442
In den Straßen der Bronx (1993),7.8,1993,1,2,86,176
The Man Who Wasn't There (2001),7.6,2001,25,33,113,425
Die Simpsons Black Widower (TV Episode 1992),7.7,1992,0,0,0,0
Tootsie (1982),7.4,1982,30,23,355,162
Krámpack (2000),7,2000,12,9,8,31
Die erste Liebe (1996),7.9,1996,4,3,68,150
American Graffiti (1973),7.5,1973,8,6,392,222
(500) Days of Summer (2009),7.8,2009,10,22,29,453
Besser geht's nicht (1997),7.8,1997,31,30,440,449
Nachbarn Episode #1.4096 (TV Episode 2002),,2002,0,0,0,0
2010 - Das Jahr\,http://www.imdb.com/title/tt0086837/,6960,video.movie,1,10,0
Solaris (1972),8.1,1972,2,4,44,216
Planet der Affen (1968),8,1968,5,0,151,363
Star Trek: Der Film (1979),6.3,1979,2,15,217,372
Alarm im Weltall (1956),7.7,1956,1,1,397,263
Moon (2009),8,2009,21,20,2258,424
Die phantastische Reise (1966),6.9,1966,3,5,213,75
Unheimliche Begegnung der dritten Art (1977),7.7,1977,15,33,786,307
Cinemassacre's Monster Madness The Manitou (TV Episode 2010),7.3,2010,0,0,0,0
Road to Perdition (2002),7.8,2002,23,55,778,981
Three Burials - Die drei Begräbnisse des Melquiades Estrada (2005),7.5,2005,4,8,104,193
The Proposition - Tödliches Angebot (2005),7.5,2005,13,25,519,228
Ritt zum Ox-Bow (1943),8.1,1943,4,0,34,114
Bring mir den Kopf von Alfredo Garcia (1974),7.6,1974,0,0,36,109
Quigley der Australier (1990),6.8,1990,2,1,20,95
Todeszug nach Yuma (2007),7.8,2007,6,19,30,545
Bones - Die Knochenjägerin The Proof in the Pudding (TV Episode 2010),8.5,2010,0,0,0,1
Johnny Guitar - Gejagt\,johnny guitar gejagt geha t gef rchtet,8918,1954,video.movie,0,9
Der Kopfgeldjäger (TV Series 1958–1961),8.2,1961,0,0,13,12
Gunmen - Hetzjagd durch den Dschungel (1993),5.1,1993,0,0,2,24
Easy Rider (1969),7.4,1969,10,10,698,346
Tales from the Warner Bros. Lot - Geschichten vom Studiogelände (2013),6.8,2013,0,0,0,2
Carlito's Way (1993),7.9,1993,1,2,114,263
Donnie Brasco (1997),7.8,1997,5,9,355,219
Miller's Crossing (1990),7.9,1990,5,2,111,279
Training Day (2001),7.7,2001,16,15,1691,604
Jackie Brown (1997),7.5,1997,7,12,832,422
The Town - Stadt ohne Gnade (2010),7.6,2010,9,24,3726,391
Histoire(s) du cinéma: Toutes les histoires (Video 1988),7.4,1988,0,0,0,4
Dayereh-e zangi (2008),7.6,2008,0,0,0,1
Down by Law (1986),7.9,1986,4,5,61,82
King of Comedy (1982),7.8,1982,2,5,229,199
Adams Äpfel (2005),7.9,2005,19,13,23,48
Adel verpflichtet (1949),8.2,1949,4,1,105,114
Mystery Train (1989),7.5,1989,1,8,72,52
Bad Santa (2003),7.2,2003,1,8,805,464
No Panic - Gute Geiseln sind selten (1994),7,1994,1,1,39,110
Gefährliche Freundin (1986),6.8,1986,4,1,108,62
Der Frauenmörder von Paris (1947),8,1947,5,0,24,69
Spun - Leben im Rausch (2002),6.8,2002,0,0,54,197
Paper Moon (1973),8.2,1973,7,9,239,107
Tricks (2003),7.3,2003,0,0,139,325
Charade (1984),7.1,1984,2,0,0,4
Tödliche Versprechen (2007),7.7,2007,27,43,22,375
Doktor Schiwago (1965),8,1965,18,10,204,242
Mystic River (2003),8,2003,61,68,1037,902
Verdammt in alle Ewigkeit (1953),7.8,1953,14,7,257,135
Ihr erster Mann (1940),7.8,1940,0,0,29,77
Unterwegs nach Cold Mountain (2003),7.2,2003,17,63,572,657
Chuck Chuck Versus the Colonel (TV Episode 2009),9.1,2009,0,0,0,1
Tommy Boy - Durch dick und dünn (1995),7,1995,1,2,144,190
Eurotrip (2004),6.6,2004,0,0,60,306
Crocodile Dundee - Ein Krokodil zum Küssen (1986),6.5,1986,3,7,208,82
30 Minuten oder weniger (2011),6.2,2011,0,0,9,110
Rat Race - Der nackte Wahnsinn (2001),6.4,2001,0,0,87,493
Harold & Kumar Go to White Castle (2004),7.2,2004,0,0,34,312
Immer Ärger mit Bernie (1989),6.3,1989,0,0,90,87
Ein Präsident für alle Fälle (1996),6.4,1996,0,0,46,67
OSS 117 - Er selbst ist sich genug (2009),6.9,2009,0,0,44,21
Mrs. Miniver (1942),7.7,1942,3,6,66,73
Road Trip (2000),6.5,2000,2,9,506,297
Year One - Aller Anfang ist schwer (2009),4.9,2009,0,0,1413,197
Alles unter Kontrolle - Keiner blickt durch (1968),6.9,1968,0,0,0,34
Die vier Reiter der Apokalypse (1921),8,1921,1,0,38,37
Mystery Science Theater 3000 Jungle Goddess (TV Episode 1990),7.7,1990,0,0,0,0
Krieg und Frieden (1956),6.8,1956,6,8,201,42
Wenn die Kraniche ziehen (1957),8.1,1957,4,0,11,55
Hiroshima\,http://www.imdb.com/title/tt0052893/,5400,video.movie,5,9,58
Die Ballade vom Soldaten (1959),7.9,1959,5,3,5,44
Una giornata particolare (1977),8,1977,11,2,0,28
Leben und Sterben des Colonel Blimp (1943),8.1,1943,3,0,84,76
Der englische Patient (1996),7.4,1996,47,39,754,439
Die Caine war ihr Schicksal (1954),8,1954,2,3,37,142
Ein Jahr in der Hölle (1982),7.2,1982,7,15,72,82
Peter Greenaway in Indianapolis (Video 1997),6.8,1997,0,0,0,0
The Home Court Dog Day Afternoon (TV Episode 1996),,1996,0,0,0,0
Der weiße Hai 2 (1978),5.7,1978,0,0,76,235
Misery (1990),7.8,1990,3,6,399,285
Panic Room (2002),6.8,2002,1,7,618,827
Ohne Limit (2011),7.4,2011,1,6,1812,343
Conjuring - Die Heimsuchung (2013),7.6,2013,4,8,1583,657
Side Effects - Tödliche Nebenwirkungen (2013),7.1,2013,0,0,1169,238
Der große Crash (2011),7.1,2011,8,14,1465,192
Jo Nesbø's Headhunters (2011),7.6,2011,5,7,10,97
Dame\, Spion (2011),7.1,7620,2011,23,51
Contraband (2012),6.5,2012,0,0,1243,146
Ein riskanter Plan (2012),6.6,2012,0,0,723,143
Red Eye - Nachtflug in den Tod (2005),6.5,2005,2,8,201,662
Roger auf Abwegen (1993),7.1,1993,0,0,6,8
Rain Man (1988),8,1988,21,19,730,287
Der Duft der Frauen (1992),7.9,1992,6,9,160,287
Zeit des Erwachens (1990),7.7,1990,6,7,72,157
Kramer gegen Kramer (1979),7.8,1979,38,17,311,157
Philadelphia (1993),7.7,1993,11,14,670,236
Nebraska (2013),7.9,2013,26,61,1751,169
Captain Phillips (2013),8,2013,16,68,2861,411
Die Kunst zu gewinnen - Moneyball (2011),7.6,2011,20,42,4184,289
The Cinema Snob Halloween (TV Episode 2013),,2013,0,0,0,0
The Verdict - Die Wahrheit und nichts als die Wahrheit (1982),7.8,1982,4,7,143,138
Boogie Nights (1997),7.9,1997,28,22,57,530
Glengarry Glen Ross (1992),7.9,1992,5,5,376,352
Asphalt-Cowboy (1969),8,1969,26,12,392,305
The Ides of March - Tage des Verrats (2011),7.2,2011,9,21,2067,268
Fejezetek a film történetéböl Amerikai filmtípusok - Egyén és társadalom (TV Episode 1989),,1989,0,0,0,0
Rocky Balboa (2006),7.2,2006,0,0,735,940
Rocky II (1979),7.1,1979,2,1,107,141
Bodycheck (1986),6,1986,1,0,32,43
Crazy for you - Liebe auf der Ringermatte (1985),6.4,1985,0,0,51,66
Annapolis - Kampf um Anerkennung (2006),5.7,2006,0,0,63,139
Glück im Spiel (2007),5.9,2007,0,0,115,61
Blue Crush (2002),5.6,2002,1,6,199,214
Jerry Maguire: Spiel des Lebens (1996),7.3,1996,26,19,911,296
Der richtige Dreh (1983),5.9,1983,0,0,71,48
The Fighter (2010),7.9,2010,42,55,5677,366
Drawn Together The One Wherein There Is a Big Twist: Part 1 (TV Episode 2004),7.1,2004,0,0,0,0
Wer Gewalt sät (1971),7.6,1971,1,0,517,247
Verblendung (2011),7.9,2011,14,33,5277,597
Das Experiment (2001),7.8,2001,13,15,71,167
We Need to Talk About Kevin (2011),7.5,2011,20,31,2131,258
Die Welle (2008),7.6,2008,5,7,65,85
American Psycho (2000),7.6,2000,4,7,1572,1007
Der Schakal (1973),7.8,1973,1,10,30,176
Das Parfum - Die Geschichte eines Mörders (2006),7.5,2006,12,13,183,455
Syriana (2005),7,2005,9,21,730,619
Tagebuch eines Skandals (2006),7.5,2006,15,38,201,268
Atrocious (2010),5.1,2010,0,0,70,27
Sideways (2004),7.6,2004,108,39,1218,811
Punch-Drunk Love (2002),7.3,2002,15,18,257,853
At the Movies Summer Special 2008/09 (TV Episode 2008),,2008,0,0,0,0
Star Wars: Episode I - Die dunkle Bedrohung (1999),6.5,1999,12,52,1928,3443
Star Wars: Episode III - Die Rache der Sith (2005),7.7,2005,14,29,1306,3187
Star Wars: Episode II - Angriff der Klonkrieger (2002),6.8,2002,11,41,778,3412
Stargate (1994),7,1994,6,5,271,232
Man of Steel (2013),7.4,2013,4,16,15096,2238
Iron Man 3 (2013),7.4,2013,12,35,11894,1107
John Carter: Zwischen zwei Welten (2012),6.6,2012,1,4,3101,677
Fantastic Four (2005),5.7,2005,0,0,2932,992
Spider-Man (2002),7.3,2002,12,44,7963,1985
Superman Returns (2006),6.2,2006,10,22,3008,2348
Fantastic Four: Rise of the Silver Surfer (2007),5.6,2007,2,13,321,426
Skins - Hautnah Thomas (TV Episode 2010),7.2,2010,0,0,0,1
Tigerland (2000),7.1,2000,3,3,96,150
Armee im Schatten (1969),8.1,1969,3,0,60,73
Birdy (1984),7.3,1984,3,1,33,59
Stalingrad (1993),7.5,1993,3,1,43,138
Rom\,http://www.imdb.com/title/tt0038890/,6180,video.movie,6,20,61
Europa (1991),7.7,1991,16,4,181,57
Iwans Kindheit (1962),8.1,1962,2,0,15,41
La chiesa (1989),6.2,1989,0,0,16,64
Hoffnung und Ruhm (1987),7.4,1987,18,19,40,65
Johnny zieht in den Krieg (1971),7.9,1971,3,2,22,76
Ein Haufen toller Hunde (1965),7.9,1965,3,6,29,78
Schwarze Narzisse (1947),8,1947,3,0,188,122
Kickin' It Old Skool (2007),4.6,2007,0,0,11,34
Dreamscape (1984),6.3,1984,1,2,42,56
Heroes for Sale (1933),7.8,1933,0,0,4,29
28 Tage später (2002),7.7,2002,10,25,22,1414
Resident Evil (2002),6.7,2002,0,0,5124,1124
Die Dämonischen (1956),7.8,1956,1,0,19,189
eXistenZ (1999),6.8,1999,3,7,0,505
Der Nebel (2007),7.2,2007,2,5,836,1005
Der Unsichtbare (1933),7.7,1933,3,0,144,141
Der Schrecken vom Amazonas (1954),7,1954,1,0,448,156
Der Feuerteufel (1984),6,1984,0,0,114,84
Sunshine (2007),7.3,2007,1,10,683,742
Predator (1987),7.9,1987,3,4,886,572
Savage Harvest 2: October Blood (Video 2006),5.3,2006,0,0,0,1
Auf Wiedersehen\,http://www.imdb.com/title/tt0092593/,6240,video.movie,26,15,45
Spiegelbild im goldenen Auge (1967),6.9,1967,1,0,34,61
Die Glücksritter (1983),7.5,1983,3,4,345,139
Clerks - Die Ladenhüter (1994),7.9,1994,4,6,1066,604
Kabinett außer Kontrolle (2009),7.5,2009,16,20,772,124
Superbad (2007),7.7,2007,7,14,2809,540
Der Sinn des Lebens (1983),7.6,1983,1,1,112,185
Two and a Half Men Gorp. Fnark. Schmegle. (TV Episode 2009),8.9,2009,0,0,0,0
Die Stadt der verlorenen Kinder (1995),7.7,1995,2,10,83,230
Brazil (1985),8,1985,10,1,613,490
The Fall (2006),7.9,2006,3,4,630,272
Die Fliege (1986),7.5,1986,7,9,580,254
E.T. - Der Außerirdische (1982),7.9,1982,47,28,1194,468
The Limits of Control - Der geheimnisvolle Killer (2009),6.2,2009,0,0,163,107
Der letzte Kaiser (1987),7.8,1987,44,13,270,119
Hunger (2008),7.6,2008,36,22,1313,121
The Social Network (2010),7.8,2010,102,86,11716,650
Oscar Wilde (1997),6.9,1997,3,7,196,96
Das erste Evangelium Matthäus (1964),7.9,1964,8,4,20,57
Die Geschichte der Adele H. (1975),7.4,1975,11,4,22,29
Becket (1964),8.1,1964,14,22,68,87
Marie Antoinette (2006),6.4,2006,8,9,433,600
Luther (2003),6.7,2003,4,1,26,103
Danton (1983),7.5,1983,6,5,13,26
Hannah Montana You're So Vain\,http://www.imdb.com/title/tt0595951/,1380,video.episode,0,0,0
Planet der Affen: Prevolution (2011),7.6,2011,12,24,4951,594
Matrix Reloaded (2003),7.2,2003,5,20,490,2771
Mad Max - Jenseits der Donnerkuppel (1985),6.2,1985,1,5,153,145
Outlander (2008),6.3,2008,0,0,161,150
Star Trek: Into Darkness (2013),7.9,2013,6,27,7706,1054
Matrix Revolutions (2003),6.7,2003,1,18,277,2117
The Time Machine (2002),5.9,2002,1,0,191,605
Iron Man 2 (2010),7.1,2010,3,24,11441,684
Der Wüstenplanet (1984),6.6,1984,1,4,537,536
The Statue of Liberty (1985),7.2,1985,0,3,29,5
The Unauthorized 'Star Wars' Story (Video 1999),4.6,1999,0,0,0,1
Das Comeback (2005),8,2005,14,26,426,508
Hurricane (1999),7.5,1999,7,15,74,252
Ali (2001),6.7,2001,9,24,39,374
Mit Herz und Hand (2005),7.9,2005,10,5,22,244
Blind Side - Die große Chance (2009),7.7,2009,7,22,3996,373
Touchdown - Sein Ziel ist der Sieg (1993),7.5,1993,2,1,118,146
Unbesiegbar - Der Traum seines Lebens (2006),7.1,2006,0,0,197,137
Dogtown Boys (2005),7.1,2005,1,7,217,192
42 (2013),7.6,2013,3,13,20,168
Die Hölle ist in mir (1956),7.5,1956,2,3,37,52
The Express (2008),7.3,2008,1,2,155,43
The Babe - Ein amerikanischer Traum (1992),5.8,1992,0,0,9,45
Elliot\,http://www.imdb.com/title/tt0076538/,6120,video.movie,0,34,49
V.I.P. - Die Bodyguards Raging Val (TV Episode 1999),5.7,1999,0,0,0,0
Blutgericht in Texas (1974),7.5,1974,1,0,403,768
Angel Heart (1987),7.4,1987,1,3,80,219
Die tollkühne Hexe in ihrem fliegenden Bett (1971),7,1971,1,5,74,89
Faszination des Grauens (1996),7.5,1996,14,5,14,110
[Rec] (2007),7.5,2007,16,8,219,353
Echoes - Stimmen aus der Zwischenwelt (1999),7,1999,3,1,111,364
The Changeling (1980),7.3,1980,10,4,34,265
Ring (2002),7.1,2002,11,6,808,1603
Das Geheimnis der schwarzen Handschuhe (1970),7.2,1970,1,1,13,86
Jessy - Die Treppe in den Tod (1974),7.3,1974,2,2,228,324
Nachtwache (1994),7.4,1994,10,2,3,32
Freitag\,http://www.imdb.com/title/tt0080761/,5700,video.movie,0,25,2227
Phenomena (1985),6.9,1985,0,0,55,159
Alice im Wunderland (1951),7.4,1951,0,1,16,129
Charlie und die Schokoladenfabrik (1971),7.8,1971,0,1,14,330
Saturday Night Live Charlie Day/Maroon 5 (TV Episode 2011),7.2,2011,0,0,0,0
Im Westen nichts Neues (1930),8.1,1930,4,2,212,185
Black Hawk Down (2001),7.7,2001,8,28,1102,1079
James und der Riesenpfirsich (1996),6.8,1996,3,3,184,70
Die Luftschlacht um England (1969),7,1969,1,0,86,129
Flags of Our Fathers (2006),7.1,2006,15,15,517,406
Mai '43 - Die Zerstörung der Talsperren (1955),7.4,1955,0,3,44,86
Die neunte Kompanie (2005),7.2,2005,8,12,7,63
Into the White (2012),7.1,2012,0,0,115,26
Die letzte Fahrt der Bismarck (1960),7.2,1960,0,0,11,53
Waterloo (1970),7.3,1970,1,2,15,73
Aladdin (1992),8,1992,24,15,337,212
Alice im Wunderland (2010),6.5,2010,20,43,9688,703
Side by Side (2012),7.7,2012,0,0,223,34
Indiana Jones und der Tempel des Todes (1984),7.6,1984,4,19,296,479
Indiana Jones und das Königreich des Kristallschädels (2008),6.3,2008,6,25,1395,2019
Captain America: The First Avenger (2011),6.8,2011,2,19,11496,591
Lone Ranger (2013),6.6,2013,2,12,4205,603
Die Geheimnisse der Spiderwicks (2008),6.6,2008,2,7,327,116
Hero (2002),8,2002,28,20,172,827
Ironclad (2011),6.2,2011,0,0,288,88
Der Mann\,http://www.imdb.com/title/tt0073341/,7740,video.movie,0,21,108
Die verborgene Festung (1958),8,1958,4,1,82,84
Valhalla Rising (2009),5.9,2009,4,9,606,241
